tract,county,state,cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2010,frac_coll_plus2000,foreign_share2010,med_hhinc2016,med_hhinc1990,popdensity2000,poor_share2010,poor_share2000,poor_share1990,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,jobs_total_5mi_2015,jobs_highpay_5mi_2015,nonwhite_share2010,popdensity2010,ann_avg_job_growth_2004_2013,job_density_2013,kfr_natam_p25,kfr_natam_p75,kfr_natam_p100,kfr_asian_p25,kfr_asian_p75,kfr_asian_p100,kfr_black_p25,kfr_black_p75,kfr_black_p100,kfr_hisp_p25,kfr_hisp_p75,kfr_hisp_p100,kfr_pooled_p25,kfr_pooled_p75,kfr_pooled_p100,kfr_white_p25,kfr_white_p75,kfr_white_p100,count_pooled,count_white,count_black,count_asian,count_hisp,count_natam,mergecounts
24502,5,36,19400.0,New York,41365.332,47.877525,0.04296875,0.05816303900000001,0.34925714,28382.0,16078.0,36361.395,0.38998836,0.41821450000000004,0.36343265,0.25906593,0.72390109,0.007692308199999999,0.32400468,0.015222481000000001,0.64718968,0.0025761123000000003,3.219661,0.0,0.61100197,0.6930272,0.67261446,0.069178082,0.39417711,71.800003,0.0,493036.0,249039.0,0.98873627,93333.32800000001,0.030378161,1846.1538,0.0,0.0,0.0,0.0,0.0,0.0,25628.672000000002,43239.551,77475.484,32732.889,44109.523,59623.335999999996,29047.145,41650.305,53476.25,0.0,0.0,0.0,1331.0,14.0,392.0,3.0,890.0,9.0,matched (3)
25500,5,36,19400.0,New York,44407.027,44.838539000000004,0.10728233,0.11610077,0.45489162,26283.0,16855.0,37660.215,0.35834676,0.37476981,0.43932411,0.16801961,0.77163422,0.020970268,0.20587787,0.036850922,0.70488811,0.027551176,3.219661,0.0,0.58249998,0.66529775,0.61850309,0.15766923,0.42567569,74.199997,-0.30273074,478836.0,239934.0,0.97580028,97447.758,0.020893303999999998,3955.2239,0.0,0.0,0.0,51077.765999999996,42716.359000000004,31200.912,25012.882999999998,23562.808999999997,21609.252,31202.672000000002,31114.492000000002,31017.272999999997,29011.27,28314.635,27767.467,0.0,0.0,0.0,2245.0,47.0,435.0,76.0,1651.0,8.0,matched (3)
23301,5,36,19400.0,New York,44500.062999999995,45.006172,0.11358111,0.10083424,0.45758471,23023.0,16451.0,40887.617,0.2560837,0.34373075,0.40049320000000005,0.34726983,0.62828422,0.006854009300000001,0.35496339,0.014239219,0.61147273,0.0077569839,3.219661,1153.0,0.66960353,0.69192749,0.66578948,0.12692308,0.46513679999999996,67.099998,0.21169926,503574.0,254933.0,0.9901759,95152.17199999999,0.063650705,7652.1738,0.0,0.0,0.0,0.0,0.0,0.0,29158.68,39571.98,56687.504,32421.516,40186.547,49906.168,28947.906000000003,35050.273,40138.184,0.0,0.0,0.0,1682.0,24.0,509.0,10.0,1096.0,0.0,matched (3)
12101,5,36,19400.0,New York,41383.109,41.243996,0.10245129,0.10170604,0.30342343,29294.0,14420.0,24733.373,0.28566229,0.5030455,0.49272728,0.30711973,0.67313915,0.0051779938,0.25712299,0.016330786,0.71959692,0.0062543432999999996,3.219661,1044.0,0.54965359,0.77999997,0.64175826,0.083685547,0.36457261,73.099998,-0.55118138,573069.0,290261.0,0.9883495000000001,68666.664,0.04754499,2666.6665,0.0,0.0,0.0,0.0,0.0,0.0,22511.463,23076.332000000002,23839.457000000002,33659.434,40924.891,49973.332,29243.734,32885.969,35833.91,0.0,0.0,0.0,1089.0,25.0,284.0,3.0,765.0,2.0,matched (3)
52000,81,36,19400.0,New York,93068.914,56.990081999999994,0.19243157,0.13102821,0.49509802,85972.0,51249.0,9877.2461,0.016884532,0.1202923,0.11076149,0.90927023,0.06706114099999999,0.0032873109,0.93885952,0.0111699,0.038212817,0.0023515578,3.219661,1603.0,0.37362638,0.15189873,0.42045453,0.076041669,0.49177876,67.400002,0.14683996,280709.0,125426.0,0.99211043,23045.455,0.0050641545,2045.4546,0.0,0.0,0.0,0.0,0.0,0.0,29941.461,29961.867000000002,29989.542999999998,0.0,0.0,0.0,29659.916,28713.857000000004,27973.107000000004,0.0,0.0,0.0,461.0,2.0,423.0,2.0,27.0,0.0,matched (3)
6500,5,36,19400.0,New York,41480.543,40.077656,0.10573292,0.11973735,0.34449121,22365.0,11672.0,17730.158,0.4472169,0.37343252,0.39591441,0.29679596,0.64418215,0.018549748,0.2831364,0.032867882,0.64661652,0.026638024,3.219661,1052.0,0.74185139,0.65639448,0.66863036,0.04594272,0.38599589,71.800003,0.30338302,1073689.0,645863.0,0.96833426,52841.582,-0.002860802,55722.77,0.0,0.0,0.0,0.0,0.0,0.0,26482.408,28587.972999999998,31463.277000000002,30385.617000000002,32844.164,35618.562999999995,28900.242000000002,30562.084,31881.805,21631.387000000002,16030.635,11402.848999999998,1523.0,18.0,446.0,23.0,994.0,8.0,matched (3)
41400,81,36,19400.0,New York,63142.633,49.69907,0.16190037,0.14345405,0.31651512,46817.0,30599.0,7697.9082,0.18383004,0.21552916,0.13445851,0.80114061,0.15521944,0.012397718,0.92961234,0.0068737972,0.046466868,0.0049491338,3.219661,1362.0,0.50967741,0.49279538,0.53664303,0.16338983,0.50188679,62.700001,0.18077849,323899.0,135805.0,0.99231339,22159.342,-0.020583056000000002,4324.1758,0.0,0.0,0.0,0.0,0.0,0.0,28132.297000000002,30445.451,33629.273,33853.852,59809.676,107216.41,27105.166,31918.002,35832.641,0.0,0.0,0.0,1092.0,3.0,971.0,5.0,62.0,1.0,matched (3)
22302,61,36,19400.0,New York,41429.336,42.993481,0.19341929,0.088150881,0.3286908,25309.0,11937.0,64885.309,0.45041782,0.3816987,0.35420638,0.24638109,0.66410637,0.022768516000000003,0.31073305,0.01376032,0.66875154,0.0013343341,3.219661,1540.0,0.72881359,0.55353534,0.64312977,0.083629891,0.36237758,76.5,0.36383229,1403854.0,897207.0,0.93884784,141041.67,-0.054003987,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,21535.285,23304.147999999997,25697.053,36486.242,42591.473,50087.465,29064.98,29128.097999999998,29177.729,0.0,0.0,0.0,1189.0,12.0,294.0,1.0,870.0,2.0,matched (3)
14400,5,36,19400.0,New York,48733.887,50.248993,0.11860175,0.077544041,0.12827933,24034.0,15872.070503471492,14725.697,0.26273149,0.35787332,0.37024759999999995,0.30918369,0.60986394,0.0165,0.36985317,0.090290219,0.51949668,0.010996251,3.219661,0.0,0.79407173,0.63502675,0.66364813,0.042759407,0.35171995,72.5,0.343252,291931.0,131158.0,0.94795918,39463.086,-0.049184535,630.87244,0.0,0.0,0.0,0.0,0.0,0.0,27593.637000000002,25980.498,23811.07,29905.022999999997,43954.113,64069.969000000005,27007.959,36459.684,44671.585999999996,35015.578,53830.348,75473.742,1867.0,89.0,675.0,7.0,1053.0,5.0,matched (3)
26300,5,36,19400.0,New York,51731.780999999995,43.079449,0.077788897,0.1322314,0.43818018,28626.0,16053.0,50213.051,0.4297182,0.35023585,0.34269944,0.17626002,0.68814433,0.029495992000000002,0.25206819,0.095638007,0.58999747,0.039052531,3.219661,1287.0,0.63414633,0.53499407,0.58945388,0.15705766,0.40458143,76.699997,-0.017016657,472624.0,235579.0,0.91337341,114491.8,0.016418142,21524.59,0.0,0.0,0.0,63109.508,59826.832,54886.566,24386.074,34010.344,48820.02,30547.895,33207.367,36220.328,28389.834,33604.34,37892.035,41673.863,56192.25,71629.125,2270.0,37.0,414.0,113.0,1644.0,7.0,matched (3)
78800,81,36,19400.0,New York,89872.70300000001,45.688065,0.1433998,0.13868614,0.25415835,65500.0,27260.0,9055.3125,0.056553560999999995,0.11931119,0.065807328,0.76072609,0.09790979300000001,0.07865786599999999,0.88774341,0.005154639,0.075601377,0.011454755,3.219661,1434.0,0.13836478,0.39873418,0.46078432,0.12903225,0.57578254,65.199997,1.0038555,245953.0,102677.0,0.98569858,24567.566000000003,0.16214317,783.78375,0.0,0.0,0.0,0.0,0.0,0.0,28772.727000000003,34001.723,41550.062999999995,0.0,0.0,0.0,27968.402000000002,31078.564,33574.5,0.0,0.0,0.0,513.0,4.0,442.0,5.0,43.0,2.0,matched (3)
52200,81,36,19400.0,New York,109708.37,48.352573,0.31938514,0.20990312,0.43627709,76429.0,45096.0,8702.3076,0.11357491,0.054595715999999996,0.056107952999999995,0.92950392,0.052872062000000004,0.0045691906,0.95669824,0.014884979,0.02232747,0.00067658996,3.219661,1375.0,0.13846155,0.43037975,0.4375,0.035187285,0.55506992,62.099998,-0.19244683,279535.0,124919.0,0.99543083,23212.121,0.0,30.30303,0.0,0.0,0.0,0.0,0.0,0.0,26923.424,31534.433999999997,38049.609,0.0,0.0,0.0,26196.766,32579.854,37845.164,0.0,0.0,0.0,378.0,3.0,369.0,0.0,5.0,1.0,matched (3)
12500,5,36,19400.0,New York,59733.215,36.700676,0.23076923,0.13362382,0.21698113,28359.0,21705.0,13454.508999999998,0.32861635,0.324756,0.40909091,0.31139565,0.65556979,0.014084508,0.37208277,0.013650374,0.57111406,0.019501746,3.219661,1189.0,0.72064054,0.49295774,0.51791531,0.12222222,0.45167065,72.699997,-0.10795053,583073.0,294955.0,0.99052495,60076.926,0.098538265,3476.9231,0.0,0.0,0.0,0.0,0.0,0.0,19884.32,36556.105,66410.328,32698.882999999998,48502.57,72119.117,25764.887000000002,40266.746,54063.121,0.0,0.0,0.0,692.0,13.0,251.0,9.0,398.0,3.0,matched (3)
22901,5,36,19400.0,New York,46241.824,41.096203,0.13240311,0.08501051400000001,0.52037728,28750.0,16050.0,50945.242,0.36339334,0.37366432,0.43627095,0.25716946,0.63854748,0.047429029000000004,0.25488266,0.01788938,0.63761693,0.02890471,3.219661,1139.0,0.70185447,0.69665807,0.62091506,0.15343681,0.47843698,68.800003,-0.020223634,515355.0,260685.0,0.98324025,116739.13,-0.00066958735,46739.129,0.0,0.0,0.0,62713.84,37148.34,5462.4692,25013.647999999997,38229.68,60897.574,29480.611,36891.055,45930.742,28930.141,37849.41,45625.265999999996,0.0,0.0,0.0,2075.0,34.0,433.0,50.0,1400.0,20.0,matched (3)
24700,5,36,19400.0,New York,65155.293,50.37793,0.20595691,0.10865562,0.47430649,41859.0,26645.0,12903.732,0.25784448,0.16675662,0.29490292,0.48526078,0.4659864,0.0049641477,0.57111233,0.018815717,0.37908134,0.019922523,3.219661,0.0,0.34838709,0.67500001,0.59493673,0.045128204000000005,0.58540255,72.599998,-0.16578861,503430.0,256168.0,0.97789115,32666.666,-0.038531367000000004,611.11108,0.0,0.0,0.0,0.0,0.0,0.0,25623.297000000002,40944.145,69009.164,29512.447,31927.896,34646.762,26528.119,34681.387,41592.906,0.0,0.0,0.0,555.0,9.0,278.0,15.0,241.0,0.0,matched (3)
16200,61,36,19400.0,New York,43536.898,40.728233,0.17027159,0.12602121,0.22347105,27218.0,15992.0,33455.742,0.25020251,0.32552379,0.37756309,0.43188655,0.45294371,0.049893915999999996,0.49528161,0.027515646,0.42693952,0.02621269,3.219661,679.0,0.72192031,0.69572109,0.71801567,0.07028469400000001,0.39125770000000004,75.599998,0.09417472,2138478.0,1335184.0,0.95455521,80241.383,0.042082815999999995,5284.4829,0.0,0.0,0.0,71399.258,896924.81,0.0,25210.843999999997,35126.352,50637.835999999996,30640.512000000002,47172.085999999996,72176.25,26915.352000000003,37860.219,47626.469000000005,29157.754,31102.137000000002,32769.707,2892.0,18.0,1419.0,40.0,1345.0,7.0,matched (3)
25100,5,36,19400.0,New York,48215.062999999995,43.375252,0.13815142,0.08472622199999999,0.47767040000000005,26048.0,14608.0,31909.218999999997,0.40319833,0.32060605,0.46266034,0.23684211,0.67274332,0.036274333,0.31646332,0.013857508999999999,0.6085254,0.026795411,3.219661,1105.0,0.59569895,0.68586957,0.5903845999999999,0.14783774,0.46944565,70.800003,0.18562439,469256.0,233179.0,0.98897386,85025.0,0.09229409699999999,15300.0,0.0,0.0,0.0,51878.863,83767.227,0.0,31508.711,39451.195,51855.828,30836.652000000002,37312.324,45122.715,28584.652000000002,32955.574,36514.062999999995,0.0,0.0,0.0,2314.0,39.0,703.0,88.0,1438.0,19.0,matched (3)
18101,5,36,19400.0,New York,48925.867,45.972164,0.14598539,0.091867775,0.47506475,24953.0,20183.0,41374.113,0.26896778,0.35252234,0.28587601,0.4460606,0.52636361,0.0036363634000000002,0.47089702,0.016680274,0.47684592,0.014557332,3.219661,969.0,0.54847646,0.56822431,0.59367192,0.09645817400000001,0.43203405,69.0,0.0,618841.0,315238.0,0.98939395,110000.0,0.08312825900000001,3966.6667,0.0,0.0,0.0,0.0,0.0,0.0,28159.234,35186.918,45683.953,33743.621,56495.496,94922.883,28136.34,37139.93,44958.965,0.0,0.0,0.0,1026.0,17.0,402.0,24.0,560.0,3.0,matched (3)
18102,5,36,19400.0,New York,48925.867,45.972167999999996,0.16150782,0.091867775,0.43866518,36755.0,20183.0,55797.75,0.33442497,0.35252234,0.28587601,0.40450045,0.53123313,0.016048679,0.47089702,0.016680274,0.47684592,0.014557332,3.219661,1125.0,0.44877344,0.56822431,0.59367192,0.06561191400000001,0.43203408,71.800003,0.0,611614.0,312474.0,0.9841584000000001,150135.14,0.015017198,12486.486,0.0,0.0,0.0,49436.789000000004,0.0,0.0,29119.764,31792.832000000002,35496.375,32088.221,35935.578,40385.27,28207.697,31668.23,34453.285,0.0,0.0,0.0,1727.0,29.0,677.0,41.0,942.0,5.0,matched (3)
37400,5,36,19400.0,New York,42180.707,49.418403999999995,0.035002694,0.074793592,0.16424116,27275.0,20509.0,21063.027000000002,0.34927234,0.28690648,0.21410322,0.51700085,0.43737286,0.009299621899999999,0.56095481,0.055981815,0.34583688,0.025401633,3.219661,600.0,0.98081535,0.45054945,0.68686867,0.030042918,0.34613878,72.5,0.3820059,383191.0,186874.0,0.97733217,52938.465,0.042970247999999996,2830.7693,0.0,0.0,0.0,0.0,0.0,0.0,23999.097999999998,27635.277000000002,32627.74,33415.863,35386.613,37614.414,27521.646,32368.502,36318.977,0.0,0.0,0.0,1069.0,16.0,593.0,31.0,406.0,3.0,matched (3)
17401,61,36,19400.0,New York,51325.145,34.972572,0.17815126,0.19252336,0.1419934,20288.0,18979.0,57741.140999999996,0.31696591,0.29005092,0.28055614,0.37938261,0.44893292,0.034501117000000005,0.40096202,0.078337058,0.49252707,0.013420756,3.219661,0.0,0.78104573,0.69282138,0.70257968,0.14023733,0.34280559,74.099998,-0.44665468,2086398.0,1313471.0,0.88586128,134564.09,-0.19254486,6666.6665,0.0,0.0,0.0,0.0,0.0,0.0,22796.555,33311.316,49582.051,30572.683999999997,43299.703,61029.758,26976.107000000004,38134.582,48139.887,81633.242,98237.43,117855.75,1568.0,28.0,624.0,14.0,870.0,2.0,matched (3)
19600,81,36,19400.0,New York,75091.914,49.165688,0.20586401,0.18033813,0.3521018,67946.0,31512.0,12090.786,0.08445815699999999,0.24416797,0.14595063,0.68482786,0.15209989,0.065037549,0.83042669,0.01187384,0.093135439,0.031168832,3.219661,0.0,0.33783785,0.63786006,0.55976677,0.039810427,0.54504049,58.599998,-0.00093492016,297811.0,121355.0,0.98183882,30732.557,0.07322208599999999,988.3720699999999,0.0,0.0,0.0,0.0,0.0,0.0,28071.607000000004,36203.555,48665.43,32629.021,39431.008,47771.59,27434.867000000002,33878.895,39238.27,0.0,0.0,0.0,857.0,5.0,686.0,22.0,90.0,8.0,matched (3)
4400,5,36,19400.0,New York,36996.781,45.430096,0.09021183099999999,0.063352048,0.18200409,20725.0,12832.0,17734.898,0.46869069,0.5755102,0.40680474,0.35084426,0.60725451,0.0081794541,0.41682723,0.013059302,0.55726826,0.0053817024,3.219661,606.0,0.81306714,0.74440897,0.78307694,0.0,0.30798006,77.400002,0.019008523,456589.0,219424.0,0.9789452,47029.414000000004,0.040285259,9176.4707,0.0,0.0,0.0,0.0,0.0,0.0,25009.764,40241.297,67929.992,33106.941,44248.184,59378.848,28102.355,41268.668,53687.816,0.0,0.0,0.0,1630.0,12.0,671.0,5.0,906.0,5.0,matched (3)
4300,5,36,19400.0,New York,43563.617,47.484795,0.10193826,0.041436464,0.21519259999999998,21551.0,11318.0,21247.332000000002,0.42140687,0.30918390000000007,0.49228764,0.21400316,0.75830698,0.0069224685,0.20651492,0.0060555441,0.77531844,0.0081487559,3.219661,0.0,0.86741215,0.76478678,0.58544302,0.11233053,0.34971869,74.800003,0.036745373,1093715.0,649602.0,0.98318827,58114.945,-0.00041425068,9229.8857,0.0,0.0,0.0,0.0,0.0,0.0,21727.061,28311.609,37574.289,32663.055,42837.777,56322.559,28013.389,35581.098,41997.812999999995,0.0,0.0,0.0,1570.0,6.0,337.0,8.0,1206.0,6.0,matched (3)
23300,61,36,19400.0,New York,47564.398,37.600113,0.42354739,0.16438356,0.31925344,50428.0,19333.0,26619.18,0.25869169999999997,0.34567291,0.26976159,0.29354987,0.53240389,0.024860336,0.44813347,0.03551371,0.48595971,0.013882631999999999,3.219661,0.0,0.70416665,0.6610738,0.58283132,0.048137158,0.40776908,73.099998,-0.73960352,921290.0,547782.0,0.86793321,74170.453,0.03397394,2931.8181,0.0,0.0,0.0,0.0,0.0,0.0,29451.871,31466.639,34235.223,31540.367000000002,42767.890999999996,57939.73,28541.691000000003,35570.422,41499.266,0.0,0.0,0.0,1568.0,33.0,544.0,5.0,933.0,8.0,matched (3)
94201,81,36,19400.0,New York,58747.883,48.605015,0.28451699,0.15722266,0.29497615,53049.0,26133.0,5286.0854,0.16284987,0.24187726,0.11923307,0.39201182,0.31952661,0.04245317,0.35943061,0.33807829,0.26436198,0.013218098000000001,3.219661,1177.0,0.52863437,0.67547172,0.64492756,0.20596798,0.44467074,66.0,0.15270707,62804.0,26409.0,0.7718935,23472.222999999998,-0.08640714,1604.1667,0.0,0.0,0.0,0.0,0.0,0.0,25712.65,33220.27,44336.215,32281.582000000002,25091.967,17339.139,27540.547000000002,32620.541,36773.242,36612.418,33210.207,30417.07,558.0,118.0,244.0,0.0,177.0,4.0,matched (3)
5200,5,36,19400.0,New York,36598.094,51.789413,0.10801688,0.045608107,0.43233743,18917.0,13750.0,11975.195,0.34790421,0.40625,0.39364919,0.29394388,0.66371244,0.005416051,0.31015554,0.012808783,0.64272642,0.019670632,3.219661,0.0,0.3857868,0.57246375,0.64264262,0.18267716,0.29894179,69.0,0.95005864,549185.0,276411.0,0.9832595,29014.285,-0.046987098,6957.1431,0.0,0.0,0.0,0.0,0.0,0.0,30176.779,52904.164000000004,104106.3,28285.574,39217.891,53561.953,27645.492000000002,39211.488,49726.691,0.0,0.0,0.0,707.0,8.0,210.0,15.0,444.0,0.0,matched (3)
22902,5,36,19400.0,New York,40182.754,43.787983000000004,0.13413897,0.056129030999999996,0.44196153,27743.0,15899.0,33086.32,0.5383895000000001,0.3629953,0.45626205,0.27161625,0.69721967,0.010082494000000001,0.32776350000000004,0.0067480718999999995,0.63335478,0.017827762,3.219661,1009.0,0.81769913,0.7413395,0.65889829,0.17621145,0.45600387,68.099998,-0.45749801,523686.0,265097.0,0.99236172,90916.67199999999,0.10618551,1722.2223,0.0,0.0,0.0,0.0,0.0,0.0,26439.077999999998,33293.273,43356.207,32520.645,45033.780999999995,62528.383,28198.475,36276.035,43187.152,0.0,0.0,0.0,1067.0,11.0,308.0,25.0,700.0,0.0,matched (3)
